directory,experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,outcome,difficulty_level,target_direction,distractor_direction,max_angle,target_movement_filename,distractor_movement_filename
senior_project/P_210406143524/S001,senior_project,P_210406143524,1,1,1,1,5.059222,7.173209,success,1,Southeast,Northwest,0,target_movement_T001.csv,distractor_movement_T001.csv
senior_project/P_210406143524/S001,senior_project,P_210406143524,1,2,1,2,7.173209,9.230955,fail,1,Southeast,Northwest,0,target_movement_T002.csv,distractor_movement_T002.csv
senior_project/P_210406143524/S001,senior_project,P_210406143524,1,3,1,3,9.230955,10.86562,fail,1,Northwest,Southeast,0,target_movement_T003.csv,distractor_movement_T003.csv
senior_project/P_210406143524/S001,senior_project,P_210406143524,1,4,1,4,10.86562,12.51944,fail,1,Southeast,Northwest,0,target_movement_T004.csv,distractor_movement_T004.csv
senior_project/P_210406143524/S001,senior_project,P_210406143524,1,5,1,5,12.51944,14.30893,success,1,Southeast,Northwest,0,target_movement_T005.csv,distractor_movement_T005.csv
senior_project/P_210406143524/S001,senior_project,P_210406143524,1,6,1,6,14.30893,21.5761,success,1,Northwest,Southeast,0,target_movement_T006.csv,distractor_movement_T006.csv
senior_project/P_210406143524/S001,senior_project,P_210406143524,1,7,1,7,21.5761,30.20462,,1,Southeast,Northwest,0,target_movement_T007.csv,distractor_movement_T007.csv
